«·√Ê«‰Ì «·„‰“·Ì…	«·⁄‰«Ì… Ê«·‘‰ÿ	«·⁄ıœœ	«·√·⁄«» Ê«·”»«Õ…	«· Õ› Ê«·Âœ«Ì«	«·ﬁ—ÿ«”Ì…	√œÊ«  «·‘Ê«¡
AR_13438	AR_20612	AR_12303	AR_28137	AR_14084	AR_25919	AR_21597
AR_13473	AR_20614	AR_12304	AR_28139	AR_14088	AR_25921	AR_12736
AR_14379	AR_20618	AR_12305	AR_28143	AR_20619_36	AR_25923	AR_12738
AR_14382	AR_24811	AR_21547	AR_28149	AR_20620	AR_25924	AR_12739
AR_20521	AR_24812	AR_21548	AR_28150	AR_20621_36	AR_25925	AR_12740
AR_21485	AR_24813	AR_21550	AR_28196	AR_20622_36	AR_25926	AR_12744
AR_21743	AR_24814	AR_21551	AR_28670	AR_20624	AR_25928	AR_12746
AR_21744	AR_26323	AR_21553	AR_28671	AR_20626	AR_25929	AR_12747
AR_21748	AR_28683	AR_22728	AR_28674	AR_20627	AR_25930	AR_12749
AR_21751	AR_28684	AR_22730	AR_28676	AR_20627_36	AR_25931	AR_12750
AR_21754	AR_28685	AR_22733	AR_28677	AR_20628	AR_25932	AR_12752
AR_21755	AR_28721	AR_22745	AR_28678	AR_20628_36	AR_25933	AR_12753
AR_21757	AR_22348	AR_22753	AR_28679	AR_20629_36	AR_25934	AR_12754
AR_21774	AR_26540	AR_23888	AR_28724	AR_20630	AR_25940	AR_12755
AR_21776	AR_28980	AR_23895	AR_28725	AR_20630_36	AR_25941	AR_12756
AR_21777		AR_23896	AR_28734	AR_20633	AR_25944	AR_12757
AR_22859		AR_23897		AR_20635_36	AR_25945	AR_12758_50
AR_22860		AR_23907		AR_20636	AR_25946	
AR_22871		AR_23908		AR_20637_36	AR_25948	
AR_22873		AR_23926		AR_20639_36	AR_25949	
AR_22875		AR_24257		AR_20640_36	AR_25950	
AR_22878		AR_24259		AR_20641_36	AR_25952	
AR_23233		AR_24260	AR_25907	AR_20642_36	AR_25953	
AR_23234		AR_24261	AR_28651	AR_20643_36	AR_25972	
AR_23235		AR_24262	AR_28653	AR_20644_36	AR_25973	
AR_23451		AR_24263	AR_28655	AR_20645	AR_25978	
AR_23454		AR_24264	AR_28656	AR_20650_36	AR_25989	
AR_23456		AR_25279	AR_28658	AR_20651_36	AR_26023	
AR_23457		AR_26339	AR_28659	AR_20652_36	AR_26024	
AR_23458		AR_26341	AR_28660	AR_22639	AR_26025	
AR_23461		AR_26342	AR_28668	AR_22646	AR_26026	
AR_23462		AR_26574		AR_22767	AR_26029	
AR_23464		AR_28556		AR_22768	AR_26429	
AR_23548		AR_28558		AR_24359	AR_26430	
AR_23549		AR_28559		AR_24363	AR_26432	
AR_23550		AR_28560		AR_24380	AR_26474	
AR_23551		AR_28562		AR_25324	AR_26475	
AR_23552		AR_28563		AR_26171	AR_26476	
AR_23553		AR_28564		AR_26233	AR_26477	
AR_23559		AR_28565		AR_26239	AR_26478	
AR_23606		AR_28566		AR_26240	AR_26479	
AR_23653		AR_28567		AR_26280	AR_26566	
AR_23654		AR_28568		AR_26281	AR_26567	
AR_23655		AR_28569		AR_26282	AR_26569	
AR_23656		AR_28570		AR_26283	AR_26570	
AR_23657		AR_28571		AR_26284	AR_26932	
AR_23660		AR_28572		AR_26306	AR_26933	
AR_23661		AR_28573		AR_26737	AR_26934	
AR_23662		AR_28576		AR_26738	AR_26935	
AR_23664		AR_28577		AR_26740	AR_28366	
AR_23665		AR_29093		AR_26759	AR_28367	
AR_23666		AR_29094		AR_26760	AR_28368	
AR_23667		AR_29095		AR_26761	AR_28371	
AR_23669		AR_29096		AR_26762	AR_28372	
AR_23944		AR_29097		AR_26764	AR_28618	
AR_23954		AR_29098		AR_26772	AR_28619	
AR_24433		AR_29099		AR_26829	AR_28620	
AR_24703		AR_29100		AR_26830	AR_28621	
AR_24868		AR_29197		AR_26833	AR_28913	
AR_24915		AR_29198		AR_28244	AR_28914	
AR_25044		AR_29200		AR_28245	AR_28915	
AR_25046		AR_29201		AR_28247	AR_28916	
AR_25051		AR_29202		AR_28248	AR_28917	
AR_25053				AR_28254	AR_29240	
AR_25054				AR_28307_24	AR_29241	
AR_25058				AR_28313	AR_29242	
AR_25063				AR_28317	AR_29243	
AR_25086				AR_28343	AR_29244	
AR_25089				AR_28344	AR_29245	
AR_25095				AR_28345	AR_29246	
AR_25097				AR_28347	AR_29250	
AR_25099				AR_28416	AR_29251	
AR_25103				AR_28515	AR_29252	
AR_25109				AR_28516	AR_25669	
