SKU	SalePrice	PackQty	UnitPrice	PriceDate	PackDate	PriceCommit	PackCommit	HistoricalAlias	Name
BA_622	56	4	14	2026-09-16	2026-09-06	237b6db9	3f96fdbd	BA_622	سطل دعسة 30 لتر
BA_822	14	1	14	2026-09-06	2026-09-06	32a6a40a	3f96fdbd	BA_822	طاولة
BA_301	72	8	9	2026-09-06	2026-09-06	32a6a40a	3f96fdbd	BA_301	علبة سكر مع عجل
BA_515	72	12	6	2026-09-16	2026-09-06	237b6db9	3f96fdbd	BA_515	قوار مدور 30 كرميدي
BA_585	14	1	14	2026-09-16	2026-09-06	237b6db9	3f96fdbd	BA_585	كرسي درج
BA_406	54	15	3.6	2026-09-16	2026-09-06	237b6db9	3f96fdbd	BA_406	مشك صحون ارضي دانتيل مع صينية
BA_973	240	30	8	2026-09-16	2026-09-06	237b6db9	3f96fdbd	BA_973	مشك صحون ارضي مع صينية
BA_997	90	6	15	2026-09-16	2026-09-06	237b6db9	3f96fdbd	BA_997	مشك صحون طابقين
BA_727	32	8	4	2026-09-06	2026-09-06	32a6a40a	3f96fdbd	BA_727	ابريق وضوء صغير * 2
BA_143	144	12	12	2026-09-06	2026-09-06	32a6a40a	3f96fdbd	BA_143	حافظة 20 لتر
BA_326	144	12	12	2026-09-16	2026-09-17	237b6db9	4dcea4b0	BA_326	رف بيضاوي 3 قطع
BA_319	140	10	14	2026-09-06	2026-09-06	32a6a40a	3f96fdbd	BA_319	رف خضار بيضاوي 4 قطع
BA_234	108	12	9	2026-09-06	2026-09-06	32a6a40a	3f96fdbd	BA_234	رف خضار مدور 3 قطع
BA_357	120	10	12	2026-09-06	2026-09-06	32a6a40a	3f96fdbd	BA_357_C	رف خضار مدور 4 قطع
BA_166	162	36	4.5	2026-09-06	2026-09-06	32a6a40a	3f96fdbd	BA_166	سطل 12 لتر
BA_608	48	6	8	2026-09-16	2026-09-06	237b6db9	3f96fdbd	BA_608	سطل دعسة 15 لتر
