رقم الصنف	اسم الصنف	الوحدة	الكمية المتوفرة	الشد			
ARM_10004	برطمان 150 مل دائري - غطاء اصفر	كرتون	19	60			
ARM_10005	برطمان 200 مل دائري - غطاء اصفر	كرتون	30	48			
ARM_10006	برطمان 250 مل دائري - غطاء اصفر	كرتون	3	42			
ARM_10007	برطمان 300 مل دائري - غطاء اصفر	كرتون	33	63			
ARM_10008	برطمان 400 مل مضلع - غطاء اصفر	كرتون	48	36			
ARM_10009	برطمان 500 مل دائري - غطاء اصفر	كرتون	47	42			
ARM_10011	برطمان 1000 مل دائري  - غطاء اصفر	كرتون	36	32			
ARM_10012	برطمان 1500 مل دائري - غطاء اصفر	كرتون	21	36			
ARM_10013	برطمان 2000 مل دائري - غطاء اصفر	كرتون	7	36			
ARM_10014	برطمان 3000 مل دائري - غطاء اصفر	كرتون	75	32			
ARM_10015	برطمان 4000 مل دائري  - غطاء اصفر	كرتون	55	32			
ARM_10016	برطمان 5000 مل دائري  - غطاء اصفر	كرتون	20	24			
ARM_10017	برطمان 6000 مل دائري  - غطاء اصفر	كرتون	43	18			
ARM_10021	برطمان 150مل دائري - غطاء شفاف	كرتون	7	60			
ARM_10022	برطمان 200 مل دائري - غطاء شفاف	كرتون	30	48			
ARM_10024	برطمان 300 مل دائري - غطاء شفاف	كرتون	33	63			
ARM_10025_36	برطمان 400 مل دائري - غطاء شفاف	كرتون	25	36			
ARM_10026	برطمان 500 مل دائري - غطاء شفاف	كرتون	59	42			
ARM_10027_36	برطمان 750 مل دائري - غطاء شفاف	كرتون	40	36			
ARM_10028	برطمان 1000 مل دائري  - غطاء شفاف	كرتون	7	24			
ARM_10028_32	برطمان 1000 مل دائري  - غطاء شفاف	كرتون	35	32			
ARM_10029	برطمان 1500 مل دائري - غطاء شفاف	كرتون	8	36			
ARM_10030	برطمان 2000 مل دائري - غطاء شفاف	كرتون	26	36			
ARM_10031	برطمان 3000 مل دائري - غطاء شفاف	كرتون	44	32			
ARM_10032	برطمان 4000 مل دائري  - غطاء شفاف	كرتون	51	32			
ARM_10033	برطمان 5000 مل دائري  - غطاء شفاف	كرتون	32	24			
ARM_10034	برطمان 6000 مل دائري  - غطاء شفاف	كرتون	39	18			
ARM_10036	علب عصير 330 مل دائري - غطاء اسود	كرتون	28	78			
ARM_10038	علب عصير 1000 مل - غطاء اسود	كرتون	27	36			
ARM_10040	علب عصير 2000 مل	كرتون	31	24			
ART_9022	برطمانات 500 مل ارتي - شفاف	كرتون	7	36			
ART_9033	برطمانات 2000 مل - اصفر	كرتون	0.5	24			
ART_9037	برطمانات 3000 مل - شفاف	كرتون	3	48			
AR_10725	حماية اثاث مع قاعده 28	كرتون	0.5	72			
AR_10760	قاعدة كراسي ربل مسمار	كرتون	0.5	72			
AR_10767	حماية اثاث لاصق قماش	كرتون	0.25	72			
AR_10776	حماية اثاث لاصق جلد	كرتون	0.75	72			
AR_11209	ليفة جسم بعصا	كرتون	0.25	60			
AR_11249	مقادير 5 حبات	كرتون	0.5	72			
AR_12303	خيوط زينة بيج 5حبات	كرتون	4.75	72			
AR_12304	خيوط زينة بيج  4حبات	كرتون	2.25	72			
AR_12305	خيوط زينة بيج  50جرام	كرتون	11.75	72			
AR_12736	شبك مشاوي مستطيل وسط	كرتون	14	36			
							
AR_12738	اسياخ شوي كبير 4 اسياخ	كرتون	1.75	60			
AR_12739	اسياخ شوي وسط 4 اسياخ	كرتون	1.5	60			
AR_12740	اسياخ شوي صغير 10 حبه	كرتون	3.5	60			
AR_12743	اسياخ شوي محدج 6حبه	كرتون	0.25	60			
AR_12744	اسياخ شوي مدور 5 حبه	كرتون	2.75	60			
AR_12745	ملقاط شوي	كرتون	0.5	60			
AR_12746	شبك مشاوي دائري كبير	كرتون	13	24			
AR_12747	شبك مشاوي دائري وسط	كرتون	44	36			
AR_12749	فرشه تنظيف شوي	كرتون	6.25	60			
AR_12750	منفاخ هواء شوي يدوي	كرتون	15.5	48			
AR_12752	شبك مشاوي دائري وسط	كرتون	10.5	72			
AR_12753	ملعقة شوي	كرتون	6.75	72			
AR_12754	شوكة شوي	كرتون	8.25	72			
AR_12755	سكين شوي	كرتون	6.75	72			
AR_12756	عدة شواء	كرتون	5.75	72			
AR_12757	مجموعه شواء 3 حبه	كرتون	21.76389	72			
AR_12758_50	منفاخ شواء بلاستيك 4حبات	كرتون	5	50			
AR_13438	ملعقة اكل كبير	كرتون	7	72			
AR_13448	ملعقة اكل كبير	كرتون	1	72			
AR_13473	ملعقة اكل كبير	كرتون	8.5	72			
AR_13476	شوكة اكل صغير	كرتون	1	72			
AR_13659	تحف ساعه رمليه	كرتون	2	72			
AR_14084	مراكن ورد بلاستيك	كرتون	3.25	60			
AR_14088	مراكن ورد بلاستيك	كرتون	0.75	60			
AR_14241	لبادات خيش بيضاوي	كرتون	1	72			
AR_14351	بلاط مرايا ديكور لاصق	كرتون	14	60			
AR_14352	بلاط مرايا ديكور لاصق	كرتون	1	60			
AR_14353	بلاط مرايا ديكور لاصق	كرتون	5.5	60			
AR_14354	بلاط مرايا ديكور لاصق	كرتون	15.5	60			
AR_14355	بلاط مرايا ديكور لاصق	كرتون	10	60			
AR_14356	بلاط مرايا ديكور لاصق	كرتون	4.5	60			
AR_14357	بلاط مرايا ديكور لاصق	كرتون	11	60			
AR_14358	بلاط مرايا ديكور لاصق	كرتون	9	60			
AR_14359	بلاط مرايا ديكور لاصق	كرتون	7	60			
AR_14360	بلاط مرايا ديكور لاصق	كرتون	19.5	60			
AR_14379	ورق مطبخ لاصق	كرتون	2.5	60			
AR_14382	ورق مطبخ لاصق	كرتون	1.5	60			
