رقم الصنف	اسم الصنف	الوحدة	الكمية المتوفرة	الشد			
ARM_10013	برطمان 2000 مل دائري - غطاء اصفر	كرتون	4	36			
ARM_10014	برطمان 3000 مل دائري - غطاء اصفر	كرتون	30	32			
ARM_10015	برطمان 4000 مل دائري  - غطاء اصفر	كرتون	19	32			
ARM_10031	برطمان 3000 مل دائري - غطاء شفاف	كرتون	14	32			
ARM_10032	برطمان 4000 مل دائري  - غطاء شفاف	كرتون	19	32			
ARM_10039	علب عصير 1500 مل - غطاء اسود	كرتون	10	32			
ART_9022	برطمانات 500 مل ارتي - شفاف	كرتون	8	36			
ART_9024	برطمانات 750 مل ارتي - اصفر	كرتون	8	24			
ART_9036	برطمانات 3000 مل  - اصفر	كرتون	7	48			
ART_9037	برطمانات 3000 مل - شفاف	كرتون	10	48			
ART_9039	برطمانات 4000 مل - اصفر	كرتون	3	36			
AR_10760	قاعدة كراسي ربل مسمار	كرتون	2.5	72			
AR_10763	حماية اثاث لاصق قماش	كرتون	5	72			
AR_10764	حماية اثاث لاصق قماش	كرتون	7	72			
AR_10765	حماية اثاث لاصق قماش	كرتون	4.5	72			
AR_10766	حماية اثاث لاصق قماش	كرتون	5	72			
AR_10768	حماية اثاث لاصق قماش	كرتون	4	72			
AR_10772	حماية اثاث لاصق جلد	كرتون	4.5	72			
AR_12303	خيوط زينة بيج 5حبات	كرتون	5	72			
AR_12305	خيوط زينة بيج  50جرام	كرتون	8.5	72			
AR_12736	شبك مشاوي مستطيل وسط	كرتون	19	36			
AR_12739	اسياخ شوي وسط 4 اسياخ	كرتون	2.25	60			
AR_12740	اسياخ شوي صغير 10 حبه	كرتون	4.25	60			
AR_12744	اسياخ شوي مدور 5 حبه	كرتون	5.25	60			
AR_12746	شبك مشاوي دائري كبير	كرتون	8	24			
AR_12747	شبك مشاوي دائري وسط	كرتون	45	36			
AR_12749	فرشه تنظيف شوي	كرتون	3	60			
AR_12750	منفاخ هواء شوي يدوي	كرتون	7.5	48			
AR_12752	شبك مشاوي دائري وسط	كرتون	19	72			
AR_12753	ملعقة شوي	كرتون	3	72			
AR_12754	شوكة شوي	كرتون	9.5	72			
AR_12755	سكين شوي	كرتون	4.5	72			
AR_12756	عدة شواء	كرتون	8	72			
AR_12757	مجموعه شواء 3 حبه	كرتون	14	72			
AR_12758_50	منفاخ شواء بلاستيك 4حبات	كرتون	3	50			
AR_20521	كاب كيك	كرتون	3	60			
